year,globavg,cityavg
1780,9.43,9.17
1781,8.10,8.31
1782,7.90,7.91
1783,7.68,9.27
1784,7.86,
1785,7.36,11.96
1786,8.26,8.21
1787,8.03,
1788,8.45,8.47
1789,8.33,8.56
1790,7.98,
1791,8.23,8.70
1792,8.09,8.22
1793,8.23,
1794,8.53,
1795,8.35,
1796,8.27,
1797,8.51,
1798,8.67,
1799,8.51,
1800,8.48,
1801,8.59,
1802,8.58,
1803,8.50,
1804,8.84,
1805,8.56,
1806,8.43,
1807,8.28,
1808,7.63,2.27
1809,7.08,6.75
1810,6.92,6.83
1811,6.86,6.90
1812,7.05,7.02
1813,7.74,7.56
1814,7.59,7.79
1815,7.24,7.18
1816,6.94,6.95
1817,6.98,7.12
1818,7.83,8.14
1819,7.37,7.43
1820,7.62,7.54
1821,8.09,7.87
1822,8.19,7.47
1823,7.72,8.06
1824,8.55,9.05
1825,8.39,7.96
1826,8.36,7.92
1827,8.81,9.08
1828,8.17,7.80
1829,7.94,7.93
1830,8.52,8.35
1831,7.64,7.62
1832,7.45,6.65
1833,8.01,7.86
1834,8.15,7.73
1835,7.39,7.40
1836,7.70,7.94
1837,7.38,7.52
1838,7.51,7.21
1839,7.63,7.51
1840,7.80,7.25
1841,7.69,7.74
1842,8.02,7.98
1843,8.17,8.22
1844,7.65,7.69
1845,7.85,7.83
1846,8.55,8.25
1847,8.09,7.96
1848,7.98,8.21
1849,7.98,8.35
1850,7.90,7.62
1851,8.18,8.88
1852,8.10,8.12
1853,8.04,8.57
1854,8.21,7.62
1855,8.11,8.56
1856,8.00,8.02
1857,7.76,7.26
1858,8.10,7.74
1859,8.25,8.35
1860,7.96,8.27
1861,7.85,7.17
1862,7.56,6.97
1863,8.11,7.58
1864,7.98,7.98
1865,8.18,8.20
1866,8.29,8.07
1867,8.44,8.09
1868,8.25,8.05
1869,8.43,8.51
1870,8.20,8.26
1871,8.12,8.27
1872,8.19,9.03
1873,8.35,8.95
1874,8.43,8.23
1875,7.86,7.98
1876,8.08,8.37
1877,8.54,8.67
1878,8.83,8.85
1879,8.17,8.99
1880,8.12,7.00
1881,8.27,7.94
1882,8.13,7.75
1883,7.98,8.27
1884,7.77,7.58
1885,7.92,8.09
1886,7.95,7.54
1887,7.91,8.16
1888,8.09,8.47
1889,8.32,8.43
1890,7.97,8.36
1891,8.02,7.83
1892,8.07,8.50
1893,8.06,7.87
1894,8.16,7.62
1895,8.15,8.00
1896,8.21,7.75
1897,8.29,8.10
1898,8.18,7.65
1899,8.40,9.38
1900,8.50,8.11
1901,8.54,9.08
1902,8.30,8.30
1903,8.22,7.85
1904,8.09,7.63
1905,8.23,8.16
1906,8.38,8.19
1907,7.95,7.41
1908,8.19,7.58
1909,8.18,8.43
1910,8.22,8.33
1911,8.18,6.84
1912,8.17,8.75
1913,8.30,7.93
1914,8.59,8.31
1915,8.59,8.72
1916,8.23,8.96
1917,8.02,9.29
1918,8.13,8.78
1919,8.38,8.68
1920,8.36,6.80
1921,8.57,7.49
1922,8.41,8.96
1923,8.42,8.68
1924,8.51,8.83
1925,8.53,8.79
1926,8.73,8.48
1927,8.52,8.43
1928,8.63,7.29
1929,8.24,7.62
1930,8.63,8.89
1931,8.72,7.67
1932,8.71,7.91
1933,8.34,7.56
1934,8.63,7.76
1935,8.52,8.75
1936,8.55,8.51
1937,8.70,9.09
1938,8.86,8.75
1939,8.76,8.77
1940,8.76,9.15
1941,8.77,8.84
1942,8.73,8.38
1943,8.76,8.39
1944,8.85,8.94
1945,8.58,7.68
1946,8.68,8.17
1947,8.80,9.28
1948,8.75,8.38
1949,8.59,7.89
1950,8.37,8.08
1951,8.63,8.60
1952,8.64,9.07
1953,8.87,8.19
1954,8.56,8.73
1955,8.63,9.81
1956,8.28,7.47
1957,8.73,8.97
1958,8.77,8.78
1959,8.73,7.71
1960,8.58,9.04
1961,8.80,9.27
1962,8.75,9.85
1963,8.86,9.05
1964,8.41,7.91
1965,8.53,8.33
1966,8.60,10.72
1967,8.70,7.99
1968,8.52,8.76
1969,8.60,8.02
1970,8.70,9.66
1971,8.60,8.98
1972,8.50,7.72
1973,8.95,8.04
1974,8.47,8.16
1975,8.74,8.85
1976,8.35,8.10
1977,8.85,8.47
1978,8.69,8.78
1979,8.73,9.95
1980,8.98,9.14
1981,9.17,9.65
1982,8.64,8.16
1983,9.03,8.82
1984,8.69,8.86
1985,8.66,8.97
1986,8.83,9.14
1987,8.99,8.71
1988,9.20,8.43
1989,8.92,9.67
1990,9.23,9.10
1991,9.18,9.22
1992,8.84,7.44
1993,8.87,7.69
1994,9.04,8.84
1995,9.35,9.76
1996,9.04,9.55
1997,9.20,9.10
1998,9.52,10.28
1999,9.29,10.11
2000,9.20,9.68
2001,9.41,10.18
2002,9.57,9.41
2003,9.53,9.20
2004,9.32,9.55
2005,9.70,9.58
2006,9.53,9.89
2007,9.73,9.44
2008,9.43,9.51
2009,9.51,9.67
2010,9.70,11.31
2011,9.52,8.93
2012,9.51,10.20
2013,9.61,11.08
